央视,#genre#
海南卫视,http://221.2.36.34:8888/newlive/live/hls/47/live.m3u8#https://live.metshop.top/bestv.php?id=hainanwshd8m/8000000#https://cntv.sbs/tv?auth=2310201855&id=hinws#http://mqiptv.com:8014/ch/custom43/mqlive.m3u8#http://111.40.196.28:443/PLTV/88888888/224/3221225640/1.m3u8
山东卫视,http://mqiptv.com:8014/ch/custom39/mqlive.m3u8#http://221.2.36.34:8888/newlive/live/hls/30/live.m3u8#https://live.metshop.top/bestv.php?id=sdws8m/8000000#http://111.40.196.28:443/PLTV/88888888/224/3221225546/1.m3u8#https://cntv.sbs/tv?auth=2310201855&id=sdws
天津卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226686/1.m3u8#http://221.213.43.82:8888/newlive/live/hls/42/live.m3u8#http://mqiptv.com:8014/ch/custom34/mqlive.m3u8#http://111.59.63.32:9901/tsfile/live/1047_1.m3u8#http://221.2.36.34:8888/newlive/live/hls/42/live.m3u8
重庆卫视,http://221.213.43.82:8888/newlive/live/hls/31/live.m3u8#http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226680/1.m3u8#http://mqiptv.com:8014/ch/custom59/mqlive.m3u8#https://sjlivecdn9.cbg.cn/204912315959/app_2/_definst_/ls_2.stream/chunklist.m3u8#https://live.goodiptv.club/api/bestv.php?id=cqws8m/8000000
东南卫视,http://111.40.196.28:443/PLTV/88888888/224/3221225583/1.m3u8#http://111.40.196.29:443/PLTV/88888888/224/3221225583/1.m3u8#https://live.goodiptv.club/api/cqyx.php?id=dongnanHD#http://mqiptv.com:8014/ch/custom57/mqlive.m3u8#https://tv.iill.top/cqyx/dongnanHD
甘肃卫视,http://mqiptv.com:8014/ch/custom56/mqlive.m3u8#https://cntv.sbs/tv?auth=2310201855&id=gsws
广西卫视,http://111.59.63.32:9901/tsfile/live/1003_1.m3u8#http://221.2.36.34:8888/newlive/live/hls/26/live.m3u8#https://live.goodiptv.club/api/bestv.php?id=gxwshd8m/8000000#https://cntv.sbs/tv?auth=2310201855&id=gxws#https://live.metshop.top/bestv.php?id=gxwshd8m/8000000
贵州卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226672/1.m3u8#http://111.59.63.32:9901/tsfile/live/1036_1.m3u8#https://live.goodiptv.club/api/bestv.php?id=gzwshd8m/8000000#http://221.213.43.82:8888/newlive/live/hls/29/live.m3u8#http://mqiptv.com:8014/ch/custom53/mqlive.m3u8
河北卫视,http://mqiptv.com:8014/ch/custom52/mqlive.m3u8#http://221.2.36.34:8888/newlive/live/hls/46/live.m3u8#https://cntv.sbs/tv?auth=2310201855&id=hbws#http://event.pull.hebtv.com/jishi/weishipindao.m3u8#https://live.goodiptv.club/api/cqyx.php?id=hebeiSD
黑龙江卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8?#https://live.metshop.top/bestv.php?id=hljwshd8m/8000000#http://111.40.196.27:443/PLTV/88888888/224/3221225544/1.m3u8#http://111.40.196.28:443/PLTV/88888888/224/3221225544/1.m3u8#http://221.2.36.34:8888/newlive/live/hls/45/live.m3u8
